requirementId,normativeStatement,sourceClause,requirementClass,strength,criticality,legacyGate,canonicalCapability,verificationMethod,currentStatus,mappingStatus
JAN-REQ-GOV-001,Every material capability shall contribute to a professional outcome rather than optimize artifact production as an end in itself.,JAN-CONST-001 / Article I — Outcome Primacy,Governance,MUST,P0,G0,PROGRAM_CONTROL,Architecture review; outcome trace audit,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-002,"Every material representation, decision, action, and PWU shall remain traceable to originating intent or an explicitly authorized exploratory purpose.",JAN-CONST-001 / Article II; Article V,Governance,MUST,P0,G1,C2,Traceability query and conformance test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-003,"The platform shall support professional reasoning, not merely information storage, task execution, or artifact management.",JAN-CONST-001 / Article III — Professional Reasoning,Governance,MUST,P0,G3,C4,UX review; scenario test; semantic model audit,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-004,"Claims, confidence, assumptions, alternatives, and supporting or contradicting evidence shall remain explicit and inspectable.",JAN-CONST-001 / Article IV — Evidence,Assurance,MUST,P0,G4,C5,Projection contract tests; decision scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-005,"Professional reasoning shall remain reconstructable across time, participants, and revisions.",JAN-CONST-001 / Article V — Traceability,Governance,MUST,P0,G2,C3,Event/history replay test; provenance audit,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-006,"Professional representations shall be persistent, computable, observable, versioned, composable, and reconcilable.",JAN-CONST-001 / Article VI — External Cognition,Semantic Model,MUST,P0,G1,C1,Schema and model conformance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-007,Professional reasoning shall be recursively composable without violating reconstructability.,JAN-CONST-001 / Article VII — Recursive Composition,Professional Work,MUST,P0,G5,C6,Decomposition/recomposition acceptance journey,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-008,Organizational coherence shall be maintained through continuous reconciliation rather than episodic repair alone.,JAN-CONST-001 / Article VIII — Continuous Reconciliation,Reconciliation,MUST,P0,G6,C8,Reconciliation trigger and application tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-009,Organizational memory shall preserve reasoning and rationale rather than only artifacts.,JAN-CONST-001 / Article IX — Organizational Memory,Memory,MUST,P1,G6,C8,Narrative/source trace test; history inspection,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-010,"AI participants shall remain subject to traceability, observability, evidence, validation, accountability, and reconciliation obligations.",JAN-CONST-001 / Article X — Human–AI Partnership,AI Governance,MUST,P0,G8,C10,Agent provenance and authority tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-011,Professional cognition and computational execution shall both be observable.,JAN-CONST-001 / Article XI — Observability,Observability,MUST,P1,G2,C3,OpenTelemetry contract tests; cognitive metric review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-012,Lower-level profiles and implementations shall specialize but shall not contradict higher-authority semantic documents.,JAN-CONST-001 / Applicability and closing principle,Governance,MUST,P0,G0,PROGRAM_CONTROL,Document dependency review; model diff policy,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-013,"Conflicts among code, documentation, and observed behavior shall be classified and reconciled; neither code nor documentation shall be assumed correct by default.",JAN-SEH-001 / Reconciliation capability; architecture drift principles,Governance,MUST,P0,G0,PROGRAM_CONTROL,Baseline discrepancy register and disposition review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-014,"Dates, staffing, estimates, and sprint assignments shall be maintained in a mutable operating plan and shall not redefine normative capability gates.",JAN-RMAP-001 / Roadmap governance rule,Roadmap Governance,MUST,P1,G0,PROGRAM_CONTROL,Roadmap/operating-plan separation review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-001,"Every canonical entity shall possess a stable globally unique identity that survives renaming, revision, and reassignment.",JAN-CPCO-001 / Section 4.1 — Identity,Semantic Model,MUST,P0,G1,C1,Schema test; identity persistence test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-002,Every entity shall declare a canonical entity type; domain subtypes shall preserve base semantics.,JAN-CPCO-001 / Section 4.2 — Type,Semantic Model,MUST,P1,G1,C1,Type-system conformance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-003,Mutable entities shall be versioned and historical versions shall remain reconstructable where required.,JAN-CPCO-001 / Section 4.3 — Version,Semantic Model,MUST,P0,G1,C1,Version-history test; replay test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-004,"Material entities and relationships shall record provenance, including human, AI, imported, derived, observed, and reconciled origin.",JAN-CPCO-001 / Section 4.4 — Provenance; INV-002; INV-003,Provenance,MUST,P0,G1,C1,Provenance completeness tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-005,"Lifecycle state, validity state, and relevant temporal context shall be explicit and shall not be inferred from null or missing values.",JAN-CPCO-001 / Sections 4.5–4.7; INV-007,State Model,MUST,P0,G1,C1,Schema and invariant tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-006,AI participants shall be represented explicitly and AI-originated cognition shall not be attributed to humans.,JAN-CPCO-001 / Section 5.5 — Participant; INV-003,AI Governance,MUST,P0,G4,C5,Projection and provenance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-007,Questions and uncertainties shall be first-class entities and shall drive professional work and decision readiness.,JAN-CPCO-001 / Sections 5.6–5.7,Semantic Model,MUST,P1,G4,C5,Scenario test; query contract test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-008,Every representation shall declare what it represents and its professional purpose.,JAN-CPCO-001 / Section 5.8 — Representation,Semantic Model,MUST,P1,G1,C1,Representation validator test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-009,"Critical assumptions shall be explicit and linked to dependent reasoning, decisions, and work.",JAN-CPCO-001 / Section 5.9; INV-005,Assurance,MUST,P0,G4,C5,Assumption impact test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-010,Mandatory constraints shall be evaluated before conflicting decisions or actions become effective unless an authorized exception exists.,JAN-CPCO-001 / Section 5.10; INV-016,Governance,MUST,P0,G4,C5,Authority/constraint integration test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-011,"Claims shall remain distinct from evidence, and evidentiary support shall be represented by explicit typed relationships.",JAN-CPCO-001 / Sections 5.11–5.12; INV-004,Evidence,MUST,P0,G4,C5,Claim-evidence relationship tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-012,"Confidence shall remain distinct from approval, priority, completion, certainty, and severity, and shall identify its basis.",JAN-CPCO-001 / Section 5.13; INV-015,Assurance,MUST,P1,G4,C5,Semantic validator and UI test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-013,Every completed reasoning activity shall identify outputs or explicitly record that no valid conclusion was produced.,JAN-CPCO-001 / Section 5.14 — Reasoning Activity,Reasoning,MUST,P1,G4,C5,Reasoning completion test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-014,Materially considered alternatives that are rejected should retain rejection rationale.,JAN-CPCO-001 / Section 5.15 — Alternative,Decision,SHOULD,P2,G4,C5,Decision history review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-015,A decision shall be represented as an authorized commitment under available knowledge and shall not be treated as truth.,JAN-CPCO-001 / Section 5.16 — Decision,Decision,MUST,P0,G4,C5,Semantic distinction test; UI acceptance test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-016,An action shall remain distinct from the decision authorizing it and from the outcome it is intended to affect.,JAN-CPCO-001 / Section 5.17 — Action,Semantic Model,MUST,P1,G7,C9,Traceability test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-017,"Observation, interpretation, and derived claim shall remain distinguishable; an observation becomes evidence only through explicit use.",JAN-CPCO-001 / Section 5.18; INV-010,Evidence,MUST,P0,G4,C5,Observation-evidence conversion test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-018,Artifacts shall remain semantically distinct from the representations they embody.,JAN-CPCO-001 / Section 5.19; Semantic Boundary Rules,Semantic Model,MUST,P1,G1,C1,Artifact/representation model test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-019,"Dependencies shall be explicit, typed, directional, and status-bearing.",JAN-CPCO-001 / Section 5.20 — Dependency,Dependency,MUST,P1,G3,C4,Dependency schema and blocker tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-020,"Validations shall be explicit entities with criteria, result, performer, and time.",JAN-CPCO-001 / Section 5.23 — Validation; INV-009,Assurance,MUST,P0,G4,C5,Validation contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-021,Reconciliation shall preserve the prior state and the rationale for change.,JAN-CPCO-001 / Section 5.24; INV-017,Reconciliation,MUST,P0,G6,C8,Before/after history test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-022,Narrative memory shall identify its source entities and shall not silently invent missing rationale.,JAN-CPCO-001 / Section 5.25 — Narrative Memory,Memory,MUST,P1,G6,C8,Narrative grounding test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-023,"Material semantic relationships and contradictions shall be first-class, versionable, provenance-bearing objects or typed relationships.",JAN-CPCO-001 / Sections 6 and 13,Semantic Model,MUST,P0,G4,C5,Relationship and contradiction tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-024,"Transaction time, valid time, observation time, and decision effective time shall remain distinct where applicable.",JAN-CPCO-001 / Section 14 — Temporal and Version Model,Temporal,MUST,P1,G2,C3,Temporal query tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-025,"Every material semantic transition shall emit a domain event with causation, correlation, provenance, and version context.",JAN-CPCO-001 / Section 15 — Event Model,Events,MUST,P0,G2,C3,Event contract and trace tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-026,"The implementation shall preserve the canonical semantic boundary distinctions enumerated by CPCO, including Outcome ≠ Artifact, Claim ≠ Evidence, Decision ≠ Truth, and PWU ≠ Task.",JAN-CPCO-001 / Section 23 — Semantic Boundary Rules,Semantic Model,MUST,P0,G1,C2,Semantic conformance suite,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-001,Each PWU shall possess exactly one active professionally meaningful objective.,JAN-PWU-001 / PWU-INV-001,Professional Work,MUST,P0,G3,C4,Aggregate invariant test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-002,Each non-exploratory PWU shall trace to at least one active intent.,JAN-PWU-001 / PWU-INV-002,Professional Work,MUST,P0,G3,C4,Traceability test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-003,"PWU scope, exclusions, and non-goals shall be explicit; material scope changes shall be versioned and impact-assessed.",JAN-PWU-001 / Sections 7 and 17; PWU-INV-004,Professional Work,MUST,P0,G3,C4,Scope-change command test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-004,PWUs shall maintain lifecycle state and cognitive state as separate explicit dimensions.,JAN-PWU-001 / Sections 8–10; PWU-INV-003,State Model,MUST,P0,G3,C4,"Schema, API, and UI tests",UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-005,"Material PWU lifecycle transitions shall be explicit, validated, authorized, evented, and rejected atomically when preconditions fail.",JAN-PWU-001 / Section 11 — State Transition Rules,State Model,MUST,P0,G3,C4,Transition conformance suite,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-006,A PWU shall satisfy the framing contract before it may become ready or active.,JAN-PWU-001 / Section 12 — Framing Contract,Professional Work,MUST,P0,G3,C4,Ready-state validator tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-007,"PWU participation shall be role-based, explicit, and capable of distinguishing ownership, coordination, review, validation, approval, and execution.",JAN-PWU-001 / Section 13 — Participant and Role Model,Governance,MUST,P1,G3,C4,Role/authority matrix tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-008,"External and imported inputs shall be treated as untrusted until parsed, normalized, validated, and accepted for use.",JAN-PWU-001 / Section 14 — Input Model,Boundary Assurance,MUST,P0,G3,C4,Boundary validation tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-009,"Required outputs shall define semantic purpose, acceptance criteria, validation, authoritative status, and downstream consumers.",JAN-PWU-001 / Section 15 — Output Model,Professional Work,MUST,P1,G3,C4,Output contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-010,"Questions and uncertainties shall be modeled explicitly, including residual uncertainty accepted at completion.",JAN-PWU-001 / Section 16 — Question and Uncertainty Model,Reasoning,MUST,P0,G4,C5,Residual uncertainty scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-011,"Critical assumptions and mandatory constraints shall be visible and evaluated at framing, decision, action authorization, completion, and reconciliation as applicable.",JAN-PWU-001 / Section 17 — Assumptions and Constraints,Assurance,MUST,P0,G4,C5,Lifecycle assurance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-012,"Reasoning activities shall record purpose, method, inputs, outputs, participant, assumptions introduced, limitations, and provenance.",JAN-PWU-001 / Section 18 — Reasoning Activity Model,Reasoning,MUST,P1,G4,C5,Reasoning record contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-013,"Claim, evidence, and confidence changes shall be explicit and confidence changes should preserve their basis and triggering evidence.","JAN-PWU-001 / Section 19 — Claim, Evidence, and Confidence Model",Evidence,MUST,P1,G4,C5,Confidence reassessment test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-014,"Material decisions shall identify authority, alternatives, evidence, assumptions, constraints, rationale, and residual uncertainty.",JAN-PWU-001 / Section 20 — Decision Model,Decision,MUST,P0,G4,C5,Decision approval acceptance journey,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-015,Action completion shall remain distinct from PWU completion and outcome achievement.,JAN-PWU-001 / Section 21 — Action Model,State Model,MUST,P0,G7,C9,Execution/outcome distinction test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-016,"Material observation variance shall trigger reconciliation when it conflicts with current claims, assumptions, representations, decisions, outcomes, or constraints.",JAN-PWU-001 / Section 22 — Observation and Feedback Model,Reconciliation,MUST,P0,G6,C8,Observation-triggered reconciliation test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-017,"Dependencies shall be explicit, typed, bidirectionally visible across PWUs, and capable of blocking advancement.",JAN-PWU-001 / Section 23 — Dependency Model,Dependency,MUST,P1,G3,C4,Cross-PWU dependency tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-018,"Required validations shall be planned, criteria-bearing, authority-aware, and shall not treat inconclusive as pass.",JAN-PWU-001 / Section 25 — Validation Model,Assurance,MUST,P0,G4,C5,Validation plan and inconclusive test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-019,"Reconciliation shall identify triggers, affected entities and PWUs, prior state, proposed state, impact, and authority.",JAN-PWU-001 / Section 26 — Reconciliation Model,Reconciliation,MUST,P0,G6,C8,Reconciliation case contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-020,"Each child PWU shall receive a delegation contract, and decomposition shall be based on professional meaning rather than UI or arbitrary task granularity.",JAN-PWU-001 / Section 27 — Decomposition Model; PWU-INV-015,Recursive Work,MUST,P0,G5,C6,Child creation and delegation tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-021,A parent PWU with children shall perform recomposition before completion; child completion shall not imply parent coherence.,JAN-PWU-001 / Section 28; PWU-INV-016,Recursive Work,MUST,P0,G5,C6,Recomposition-required acceptance journey,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-022,"PWU completion shall be condition-based and shall be rejected when mandatory validation, dependencies, constraints, contradictions, or recomposition remain unresolved.",JAN-PWU-001 / Section 29; PWU-INV-007/008/018,Completion,MUST,P0,G3,C4,Completion gate suite,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-023,"Failure, retry, tactic change, and escalation shall be classified distinctly and shall preserve attempted work, evidence, uncertainty, and recommended disposition.","JAN-PWU-001 / Section 30 — Failure, Tactic Change, and Escalation",Coordination,MUST,P1,G5,C6,Failure/tactic/escalation scenarios,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-024,Authoritative PWU state changes shall use semantic commands and immutable events rather than unrestricted generic mutation.,JAN-PWU-001 / Sections 31–33; PWU-INV-020,Commands and Events,MUST,P0,G2,C3,Command/event integration tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PWU-025,Material PWU commands shall use optimistic concurrency and shall reject stale expected versions rather than silently overwrite current state.,JAN-PWU-001 / Section 31.3; acceptance scenario,Concurrency,MUST,P0,G2,C3,Stale-command test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-001,"An RPH shall frame, allocate, coordinate, monitor, validate, reconcile, synthesize, and escalate professional work while preserving intent and coherence.",JAN-RPH-001 / Core responsibilities,Coordination,MUST,P0,G5,C7,RPH scenario and state tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-002,An RPH shall govern coordination and shall not directly own or silently rewrite the professional knowledge contained in PWUs.,JAN-RPH-001 / What an RPH governs,Coordination,MUST,P0,G5,C7,Architecture boundary test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-003,"Subordinate RPHs shall possess bounded purpose, scope, authority, completion conditions, and parent traceability.",JAN-RPH-001 / Recursive composition and delegation,Recursive Work,MUST,P1,G5,C7,Child RPH contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-004,"RPH planning shall be continuous, explicit, and versioned; plans shall produce or propose commands rather than mutate PWUs directly.",JAN-JEM-001 / Sections 22–23 — RPH lifecycle and planning,Coordination,MUST,P0,G5,C7,Plan revision and command boundary tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-005,"Allocation shall consider capability, authority, availability, risk, cost, independence, and tool access.",JAN-JEM-001 / Section 24 — Work Allocation,Coordination,MUST,P1,G5,C7,Allocation policy tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-006,"RPH progress assessment shall measure professional progress such as uncertainty reduction, evidence sufficiency, validation, and synthesis rather than computational activity alone.",JAN-RPH-001 / Monitoring progress; observability,Observability,MUST,P1,G5,C7,Progress metric review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-007,"Technical retry and professional tactic change shall remain distinct, and no-progress detection shall trigger tactic evaluation rather than blind repetition.",JAN-JEM-001 / Sections 27–29; JEM-INV-013,Coordination,MUST,P0,G5,C7,Retry/tactic-change tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-008,"Escalation shall be explicit, authority-directed, and shall carry a complete professional escalation package.",JAN-RPH-001 / Escalation,Governance,MUST,P0,G5,C7,Escalation package acceptance test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-009,RPH synthesis shall evaluate cross-child coherence and produce explicit synthesized professional entities before parent completion.,JAN-RPH-001 / Synthesis,Recursive Work,MUST,P0,G5,C7,Synthesis and parent completion tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-010,"RPH coordination state, bottlenecks, tactic health, validation backlog, synthesis backlog, and escalation shall be observable.",JAN-RPH-001 / Observability,Observability,MUST,P1,G5,C7,Coordination projection and telemetry tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-011,"Human judgment points, authority gaps, legal, ethical, safety, and strategic trade-offs shall remain visible and reviewable.",JAN-RPH-001 / Human interaction,Governance,MUST,P0,G5,C7,Human-attention scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-RPH-012,"Recursive expansion shall be governed by depth, concurrency, cost, time, and context limits and shall never silently truncate work.",JAN-JEM-001 / Section 65 — Recursive Expansion Limits,Resource Governance,MUST,P1,G8,C10,Limit and escalation tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-001,"Every material projection shall be derived from authoritative semantic, PWU, RPH, lifecycle, role, authority, and purpose context.",JAN-CPM-001 / Sections 2–3,Projection,MUST,P0,G3,C4,Projection source contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-002,A projection shall not independently mutate or become an authoritative semantic source of truth.,JAN-CPM-001 / PROJ-INV-001/002; PROJ-INV-018,Projection,MUST,P0,G3,C4,Mutation boundary tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-003,"Material projections shall preserve access to provenance, confidence, uncertainty, contradiction, completeness, and filtering disclosures.",JAN-CPM-001 / Projection invariants,Projection,MUST,P0,G4,C5,Projection disclosure tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-004,"Current, historical, predicted, stale, partial, and offline states shall be explicitly distinguishable.","JAN-CPM-001 / PROJ-INV-007/013/014; Sections 17, 21",Temporal UX,MUST,P0,G3,C4,State-mode UI tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
