requirementId,normativeStatement,sourceClause,requirementClass,strength,criticality,legacyGate,canonicalCapability,verificationMethod,currentStatus,mappingStatus
JAN-REQ-PROJ-005,"Available UI and agent commands shall derive from current role, authority, lifecycle, cognitive state, policy, and validation condition.",JAN-CPM-001 / PROJ-INV-009; Projection-derived commands,Authority UX,MUST,P0,G3,C4,Command availability tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-006,"Equivalent projections across web, desktop, mobile, IDE, and conversation shall preserve semantic continuity.",JAN-CPM-001 / PROJ-INV-010; responsive profiles,UX,MUST,P1,G7,C9,Cross-surface conformance review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-007,Calculated indicators and synthetic scores shall be explainable and navigable to their basis.,JAN-CPM-001 / PROJ-INV-011; Analytical projections,Assurance UX,MUST,P1,G4,C5,Metric explanation tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-008,"Cross-projection navigation shall preserve professional context, temporal mode, selected entities, and originating path.",JAN-CPM-001 / Section 22 — Cross-Projection Navigation,UX,MUST,P1,G3,C4,Critical navigation journey,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-009,The interface shall support cognitive zoom and cognitive time without losing intent and parent context.,JAN-CPM-001 / Sections 20–21,UX,MUST,P1,G7,C9,Zoom/time acceptance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-010,"The application shall implement a stable cognitive workspace shell with global context, local objective, primary projection, context inspector, and professional command region.",JAN-RIWS-001 / Sections 4–10; Minimum Viable Workspace,UX,MUST,P0,G3,C4,Shell component and route tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-011,"The primary experience shall not be organized around chat, file hierarchy, task boards, or disconnected technical modules.",JAN-RIWS-001 / Primary experience object; UI semantic invariants,UX,MUST_NOT,P0,G3,C4,Information architecture review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-012,"Lifecycle, cognitive, validity, confidence, technical loading, and temporal states shall remain semantically distinct in the UI.",JAN-RIWS-001 / UI-INV-003; Loading and Data State Model,UX,MUST,P0,G3,C4,Component semantic tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-013,Disabled or rejected commands shall explain the professional reason and required remediation.,JAN-RIWS-001 / UI-INV-020; Command Model,UX,MUST,P1,G3,C4,Disabled-command tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-014,"Graphs, matrices, and complex canvases shall provide accessible structured alternatives; color shall not be the sole carrier of meaning.",JAN-RIWS-001 / Accessibility Requirements; UI-INV-016,Accessibility,MUST,P0,G3,C4,Automated and manual accessibility tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-015,Completion readiness shall expose individual professional conditions and shall not be represented solely as a generic percentage.,JAN-RIWS-001 / Completion Readiness; UI prohibitions,UX,MUST,P0,G3,C4,Completion readiness test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-016,"AI contributions shall remain visibly attributable, proposed by default, evidence-bearing, confidence-qualified, and reviewable.",JAN-RIWS-001 / AI Participation Interface; UI-INV-004,AI UX,MUST,P0,G4,C5,AI contribution acceptance test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-017,"Professional attention shall be durable, context-bearing, authority-aware, prioritized by consequence, and disposition-required.",JAN-RIWS-001 / Professional Attention Workspace,Attention,MUST,P0,G6,C8,Attention lifecycle tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-PROJ-018,Routes and screens shall be treated as addressable projections over one semantic model rather than separate domain modules.,JAN-JCUX-001 / Route model; Shared Screen Invariants,UX Architecture,MUST,P1,G3,C4,Route/projection architecture review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-001,"JSDL shall be the canonical machine-readable source for entities, relationships, aggregates, lifecycles, commands, events, invariants, validators, permissions, projections, and observability metadata.",JAN-JSDL-001 / Purpose and canonical modules,Semantic Tooling,MUST,P0,G1,C1,Compiler input coverage test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-002,"The compiler shall separate parsing, module resolution, symbol resolution, type checking, semantic validation, IR generation, and target generation.",JAN-JSDLC-001 / End-to-End Compilation Pipeline,Compiler,MUST,P0,G1,C1,Package dependency and phase tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-003,"Compilation and generation shall be deterministic, reproducible, and source-mapped.",JAN-JSDLC-001 / Deterministic Compilation; Source Mapping,Compiler,MUST,P0,G1,C1,Golden and reproducibility tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-004,"The invariant expression language shall be constrained, deterministic, and incapable of arbitrary filesystem, network, process, or code execution.",JAN-JSDLC-001 / Expression Language; Security Requirements,Compiler Security,MUST,P0,G1,C1,Expression sandbox and fuzz tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-005,"Module imports, aliases, versions, and symbols shall resolve explicitly and ambiguities shall fail compilation rather than resolve by order.",JAN-JSDLC-001 / Module Resolution; Symbol Model,Compiler,MUST,P0,G1,C1,Resolution conformance suite,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-006,Generators shall consume only validated canonical IR and shall not reinterpret unresolved source or introduce new professional semantics.,JAN-JSDLC-001 / Generator Interface and Isolation,Compiler,MUST,P0,G1,C1,Generator boundary tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-007,"Generated contracts shall include stable semantic identity, module and model version, and source traceability.",JAN-JSDL-001 / Source Mapping and Generated File Contract,Generated Contracts,MUST,P1,G1,C1,Generated header/manifest tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-008,The compiler shall classify semantic model changes for compatibility and shall detect breaking changes.,JAN-JSDL-001 / Versioning; Model Diff,Compiler,MUST,P1,G1,C1,Model-diff tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-009,"PWA extensions shall preserve canonical identity, semantics, and invariants and shall not weaken them.",JAN-JSDL-001 / Extension Model,PWA Governance,MUST,P0,G7,C9,Extension safety tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JSDL-010,"Compiler diagnostics shall be stable, structured, source-located, and actionable.",JAN-JSDLC-001 / Diagnostic Model and Quality Requirements,Compiler UX,MUST,P1,G1,C1,Diagnostic fixture suite,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-001,A state change shall become authoritative only through the defined command handling pipeline and successful atomic commit.,JAN-JEM-001 / Central Execution Principle; Command Handling Pipeline,Runtime,MUST,P0,G2,C3,Command acceptance integration test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-002,"Authority shall be evaluated at command execution time using current principal, participant, delegation, scope, state, policy, and constraints.",JAN-JEM-001 / Sections 7–8; JEM-INV-002,Runtime Governance,MUST,P0,G2,C3,Authority execution-time tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-003,"Aggregate state, version increment, immutable events, command result, and idempotency record shall commit atomically.",JAN-JEM-001 / Section 16; JEM-INV-003,Runtime,MUST,P0,G2,C3,Transactional failure-injection tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-004,"Committed events shall be immutable and totally ordered per aggregate version; cross-aggregate order shall use causation, correlation, and process state.",JAN-JEM-001 / Sections 17–18; JEM-INV-004,Events,MUST,P0,G2,C3,Event ordering and immutability tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-005,"Externally initiated material commands shall be idempotent, and duplicate delivery shall not duplicate semantic state transitions.",JAN-JEM-001 / Section 11 — Idempotency,Runtime,MUST,P0,G2,C3,Duplicate-command tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-006,Stale commands shall not silently overwrite current state; conflicts shall return current version and a professional disposition.,JAN-JEM-001 / Section 10; JEM-INV-005,Concurrency,MUST,P0,G2,C3,Optimistic concurrency test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-007,"Validators shall be side-effect free with respect to authoritative state and shall return explicit pass, fail, conditional, inconclusive, or not-applicable results.",JAN-JEM-001 / Sections 13–15; JEM-INV-006,Validation Runtime,MUST,P0,G2,C3,Validator contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-008,"Long-running human, external, timer, and evidence waits shall be represented durably and shall survive runtime restart.","JAN-JEM-001 / Sections 21, 30–31; JEM-INV-007/009",Durable Process,MUST,P0,G5,C6,Restart recovery tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-009,"AI executions shall be durable, attributable, scope- and authority-bounded, and their outputs shall be proposed by default.",JAN-JEM-001 / Sections 25–26; JEM-INV-008,AI Runtime,MUST,P0,G8,C10,Agent execution contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-010,"External operations shall use durable records, idempotency or status inquiry, and saga or compensation semantics when atomicity is unavailable.",JAN-JEM-001 / Sections 32–33,Integration Runtime,MUST,P1,G8,C10,External operation failure tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-011,"Retries shall distinguish transient technical failure from repeated professional reasoning, and no-progress shall trigger tactic change or escalation.",JAN-JEM-001 / Sections 27–29,Coordination Runtime,MUST,P0,G5,C6,Retry/no-progress tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-012,Reconciliation changes shall be applied through normal semantic commands and shall not bypass aggregate invariants.,JAN-JEM-001 / Section 34; JEM-INV-011,Reconciliation Runtime,MUST,P0,G6,C8,Reconciliation application tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-013,"Cross-aggregate coherence shall be maintained through commands, events, processes, validators, reconciliation, and explicit temporary incoherence rather than hidden distributed mutation.",JAN-JEM-001 / Section 35 — Cross-Aggregate Consistency,Runtime,MUST,P0,G6,C8,Cross-aggregate scenario tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-014,"Authoritative objects and events shall identify semantic model versions, and upgrades shall support migration, upcasting, projection rebuild, or explicit incompatibility handling.",JAN-JEM-001 / Sections 45–47; JEM-INV-016,Versioning,MUST,P1,G2,C3,Model upgrade and event upcast tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-015,All authoritative and derived runtime state shall be tenant-scoped and organization boundaries shall require explicit policy.,JAN-JEM-001 / Section 48; JEM-INV-018,Security,MUST,P0,G2,C3,Tenant isolation tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-016,"Material state shall preserve provenance and append-only or tamper-evident audit across commands, authority, AI execution, exceptions, reconciliation, and administration.",JAN-JEM-001 / Sections 49–50,Audit,MUST,P0,G2,C3,Audit chain tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-017,Replay and projection rebuild shall not repeat external side effects and shall deterministically reconstruct state under the applicable model version.,JAN-JEM-001 / Sections 53–54; JEM-INV-017,Recovery,MUST,P0,G9,C11,Replay safety tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JEM-018,"Backpressure, budgets, safe stop, and recursive expansion limits shall protect authoritative processing without fabricating completion or silently truncating work.",JAN-JEM-001 / Sections 64–67,Resource Governance,MUST,P0,G8,C10,"Saturation, budget, and safe-stop tests",UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-001,"PostgreSQL authoritative state, committed events, and the transactional outbox shall implement the single-node authoritative boundary.","JAN-JSRP-001 / Sections 7, 12, 15–16; JSRP-INV-001/002",Runtime Profile,MUST,P0,G2,C3,Database transaction integration tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-002,"Projection tables shall remain derived, checkpointed, idempotently updated, stale-aware, and rebuildable.",JAN-JSRP-001 / Sections 18–19; JSRP-INV-003,Projection Runtime,MUST,P0,G3,C4,Projection rebuild and lag tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-003,"Process, RPH, timer, agent, external-operation, and attention state shall survive process or container restart.","JAN-JSRP-001 / Sections 20–25, 48; JSRP-INV-004/005",Durability,MUST,P0,G5,C6,Restart and lease recovery tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-004,Tenant isolation shall be enforced through application scoping and PostgreSQL row-level security where practical.,JAN-JSRP-001 / Section 9; JSRP-INV-006,Security,MUST,P0,G2,C3,Cross-tenant access tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-005,"Sandbox execution shall isolate CPU, memory, storage, time, process count, network, filesystem, secrets, and artifacts and shall prohibit host-control access by default.",JAN-JSRP-001 / Section 28; JSRP-INV-007,Sandbox Security,MUST,P0,G8,C10,Sandbox escape and policy tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-006,Agent and sandbox workloads shall not exhaust resources required for authoritative command processing and PostgreSQL.,JAN-JSRP-001 / Sections 44–46; JSRP-INV-008,Resource Governance,MUST,P0,G8,C10,Resource saturation tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-007,"Capability-specific degradation, projection staleness, queue saturation, and dependency failure shall be observable.",JAN-JSRP-001 / Sections 41–47; JSRP-INV-009,Operations,MUST,P1,G9,C11,Degraded-mode and telemetry tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-008,"Recoverable backups shall exist off-host, shall include PostgreSQL, object storage, configuration, semantic sources, and secrets under separate protection, and shall be restore-tested.",JAN-JSRP-001 / Sections 49–52; JSRP-INV-010,Recovery,MUST,P0,G9,C11,Restore drill evidence,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-009,"The runtime shall verify at startup that deployed JSDL contracts, semantic model fingerprints, database versions, and migrations are compatible.",JAN-JSRP-001 / Section 60; JSRP-INV-011,Deployment Governance,MUST,P0,G9,C11,Startup compatibility tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-010,Administrative recovery and override actions shall be audited and shall not use direct semantic row editing as a normal operating procedure.,"JAN-JSRP-001 / Sections 63, 65; JSRP-INV-014",Operations Governance,MUST,P0,G9,C11,Administrative audit tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-011,The single-node profile shall explicitly disclose that it does not provide host-failure high availability.,"JAN-JSRP-001 / Sections 52, 73; JSRP-INV-015",Availability,MUST,P1,G9,C11,Deployment documentation review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-OPS-012,"The implementation shall preserve explicit service boundaries, versioned contracts, idempotency, leases, checkpoints, and outbox semantics to support later distribution.",JAN-JSRP-001 / Sections 69–71,Evolution,MUST,P1,G9,C11,Architecture conformance review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-001,"JanumiCode shall optimize for realized software-enabled outcomes rather than code, pull requests, builds, or deployments as ends in themselves.",JAN-JCPWA-001 / Sections 2 and 5,PWA Semantics,MUST,P0,G7,C9,End-to-end outcome trace scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-002,"Materially ambiguous product intent shall be formalized through questions, assumptions, scope, outcomes, and non-goals before unrestricted implementation begins.",JAN-JCPWA-001 / Sections 11 and 75.1,Product Definition,MUST,P0,G7,C9,Intent formalization scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-003,Every accepted requirement shall trace to intent or authorized obligation and shall identify a verification or validation method.,JAN-JCPWA-001 / Requirement invariants; JCODE-REQ-INV-001/002,Requirements,MUST,P0,G7,C9,Requirement conformance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-004,Vague quality attributes shall be interpreted or made measurable rather than remain as unqualified adjectives.,JAN-JCPWA-001 / Requirement invariants; JCODE-REQ-INV-004,Requirements,MUST,P1,G7,C9,Requirement quality validator tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-005,"User journeys shall trace to requirements, capabilities, experience representations, verification, and operational observation.",JAN-JCPWA-001 / Section 21 — User Journey Model,Product Definition,MUST,P1,G7,C9,Journey trace test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-006,"Material architecture decisions shall preserve context, alternatives, criteria, evidence, assumptions, constraints, trade-offs, consequences, and revisit triggers.",JAN-JCPWA-001 / Section 23 — Architecture Model,Architecture,MUST,P0,G7,C9,Architecture decision scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-007,"Material architecture drift shall receive explicit disposition through implementation correction, architecture revision, authorized exception, temporary incoherence, or reconciliation.",JAN-JCPWA-001 / Section 24 — Architecture Drift,Architecture,MUST,P0,G7,C9,Drift detection and disposition test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-008,"Material data and interface models shall define ownership, authority, classification, compatibility, lifecycle, security, observability, and migration obligations as applicable.",JAN-JCPWA-001 / Sections 25–26,Architecture,MUST,P1,G7,C9,Data/interface model validators,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-009,Security and privacy shall be integrated throughout product realization rather than treated only as terminal reviews.,JAN-JCPWA-001 / Section 27 — Security and Privacy Model,Security,MUST,P0,G7,C9,Security trace and gate tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-010,"Critical product, domain, data, security, architectural, and operational invariants shall identify specification, implementation, verification, and observation strategies.",JAN-JCPWA-001 / Sections 28–29; JCODE-INV-012/018,Assurance,MUST,P0,G7,C9,Invariant coverage tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-011,"Implementation plans shall preserve intent, requirements, architecture, invariants, dependencies, validation, rollout, rollback, and observability, and should favor professionally coherent vertical slices.",JAN-JCPWA-001 / Section 30 — Implementation Plan,Implementation,MUST,P1,G7,C9,Plan validator and vertical-slice review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-012,"Every coding-agent execution shall receive an explicit professional contract containing objective, intent, scope, non-goals, requirements, architecture, invariants, constraints, validations, completion, and escalation conditions.",JAN-JCPWA-001 / Section 31 — Coding-Agent Contract,AI Engineering,MUST,P0,G8,C10,Agent input contract tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-013,"Coding agents shall not silently broaden scope, replace intent, invent approval, suppress tests, weaken constraints, change public contracts, or claim completion from compilation or code generation alone.",JAN-JCPWA-001 / Coding-Agent Prohibitions; JCODE-INV-006/014/020,AI Engineering,MUST_NOT,P0,G8,C10,Adversarial agent acceptance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-014,"Repository, code, documentation, tests, and operational behavior shall be treated as evidence-bearing representations requiring reconciliation rather than any one being automatically authoritative.",JAN-JCPWA-001 / Architecture Drift; JCODE-INV-016/017,Reconciliation,MUST,P0,G7,C9,Brownfield reconciliation scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-015,"Material software changes shall trace to approved scope or authorized incident action and shall preserve implementation rationale, affected representations, tests, risk, and provenance.",JAN-JCPWA-001 / Sections 34 and 73; JCODE-INV-004,Implementation,MUST,P0,G7,C9,Change traceability tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-016,"Verification shall trace requirements and invariants to methods, results, evidence, environments, failures, and waivers; inconclusive shall not be treated as pass.",JAN-JCPWA-001 / Sections 36–38,Verification,MUST,P0,G7,C9,Verification matrix and waiver tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-017,"Release readiness shall evaluate scope coherence, verification, security, migration, operations, observability, support, residual risk, and rollback readiness.",JAN-JCPWA-001 / Section 41 — Release Model,Release,MUST,P0,G7,C9,Release gate scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-018,"Deployment success shall remain distinct from release acceptance and outcome achievement, and production observation shall feed requirement, architecture, invariant, risk, and reconciliation state.",JAN-JCPWA-001 / Sections 42–43; JCODE-INV-009,Operations,MUST,P0,G7,C9,Deployment/observation scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-019,"Production incidents shall preserve timeline, claims, evidence, decisions, containment, remediation, recovery validation, residual risk, follow-on work, and reconciliation; service restoration alone shall not close the incident.",JAN-JCPWA-001 / Section 44 — Production Incident Model,Incident,MUST,P0,G7,C9,Incident closure acceptance test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-020,"The JanumiCode Product Realization Map shall support traceability from intent and outcome through journey, requirement, architecture, change, verification, release, observation, and reconciliation.",JAN-JCPWA-001 / Sections 39 and 55,Traceability UX,MUST,P0,G7,C9,Critical acceptance journey 1,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-021,"The JanumiCode UI shall remain PWU- and cognition-centered and shall not become chat-first, file-tree-first, task-first, or a rigid waterfall.",JAN-JCPWA-001 / UI Prohibitions; JCODE-INV-020,UX,MUST_NOT,P0,G7,C9,Information architecture review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-JCODE-022,"CI/CD and repository events shall be normalized into explicit actions, artifacts, observations, evidence, validations, and reconciliation triggers rather than treated as professional completion.","JAN-JCPWA-001 / Sections 40, 66–68",Integration,MUST,P1,G7,C9,CI/CD normalization tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
