requirement_id,gate,family,criticality,strength,normative_statement,source_document,source_clause,verification_method,baseline_status,current_behavior,implementation_references,verification_references,evidence_references,coverage_limits,discrepancy_classification,discrepancy_id,deviation_id,confidence,assessor,reviewer_disposition,reviewer,notes
JAN-REQ-GOV-001,G0,GOV,P0,MUST,Every material capability shall contribute to a professional outcome rather than optimize artifact production as an end in itself.,JAN-CONST-001,Article I — Outcome Primacy,Architecture review; outcome trace audit,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-002,G1,GOV,P0,MUST,"Every material representation, decision, action, and PWU shall remain traceable to originating intent or an explicitly authorized exploratory purpose.",JAN-CONST-001,Article II; Article V,Traceability query and conformance test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-003,G3,GOV,P0,MUST,"The platform shall support professional reasoning, not merely information storage, task execution, or artifact management.",JAN-CONST-001,Article III — Professional Reasoning,UX review; scenario test; semantic model audit,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-004,G4,GOV,P0,MUST,"Claims, confidence, assumptions, alternatives, and supporting or contradicting evidence shall remain explicit and inspectable.",JAN-CONST-001,Article IV — Evidence,Projection contract tests; decision scenario,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-005,G2,GOV,P0,MUST,"Professional reasoning shall remain reconstructable across time, participants, and revisions.",JAN-CONST-001,Article V — Traceability,Event/history replay test; provenance audit,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-006,G1,GOV,P0,MUST,"Professional representations shall be persistent, computable, observable, versioned, composable, and reconcilable.",JAN-CONST-001,Article VI — External Cognition,Schema and model conformance tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-007,G5,GOV,P0,MUST,Professional reasoning shall be recursively composable without violating reconstructability.,JAN-CONST-001,Article VII — Recursive Composition,Decomposition/recomposition acceptance journey,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-008,G6,GOV,P0,MUST,Organizational coherence shall be maintained through continuous reconciliation rather than episodic repair alone.,JAN-CONST-001,Article VIII — Continuous Reconciliation,Reconciliation trigger and application tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-009,G6,GOV,P1,MUST,Organizational memory shall preserve reasoning and rationale rather than only artifacts.,JAN-CONST-001,Article IX — Organizational Memory,Narrative/source trace test; history inspection,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-010,G8,GOV,P0,MUST,"AI participants shall remain subject to traceability, observability, evidence, validation, accountability, and reconciliation obligations.",JAN-CONST-001,Article X — Human–AI Partnership,Agent provenance and authority tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-011,G2,GOV,P1,MUST,Professional cognition and computational execution shall both be observable.,JAN-CONST-001,Article XI — Observability,OpenTelemetry contract tests; cognitive metric review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-012,G0,GOV,P0,MUST,Lower-level profiles and implementations shall specialize but shall not contradict higher-authority semantic documents.,JAN-CONST-001,Applicability and closing principle,Document dependency review; model diff policy,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-013,G0,GOV,P0,MUST,"Conflicts among code, documentation, and observed behavior shall be classified and reconciled; neither code nor documentation shall be assumed correct by default.",JAN-SEH-001,Reconciliation capability; architecture drift principles,Baseline discrepancy register and disposition review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-014,G0,GOV,P1,MUST,"Dates, staffing, estimates, and sprint assignments shall be maintained in a mutable operating plan and shall not redefine normative capability gates.",JAN-RMAP-001,Roadmap governance rule,Roadmap/operating-plan separation review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-001,G1,SEM,P0,MUST,"Every canonical entity shall possess a stable globally unique identity that survives renaming, revision, and reassignment.",JAN-CPCO-001,Section 4.1 — Identity,Schema test; identity persistence test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-002,G1,SEM,P1,MUST,Every entity shall declare a canonical entity type; domain subtypes shall preserve base semantics.,JAN-CPCO-001,Section 4.2 — Type,Type-system conformance tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-003,G1,SEM,P0,MUST,Mutable entities shall be versioned and historical versions shall remain reconstructable where required.,JAN-CPCO-001,Section 4.3 — Version,Version-history test; replay test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-004,G1,SEM,P0,MUST,"Material entities and relationships shall record provenance, including human, AI, imported, derived, observed, and reconciled origin.",JAN-CPCO-001,Section 4.4 — Provenance; INV-002; INV-003,Provenance completeness tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-005,G1,SEM,P0,MUST,"Lifecycle state, validity state, and relevant temporal context shall be explicit and shall not be inferred from null or missing values.",JAN-CPCO-001,Sections 4.5–4.7; INV-007,Schema and invariant tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-006,G4,SEM,P0,MUST,AI participants shall be represented explicitly and AI-originated cognition shall not be attributed to humans.,JAN-CPCO-001,Section 5.5 — Participant; INV-003,Projection and provenance tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-007,G4,SEM,P1,MUST,Questions and uncertainties shall be first-class entities and shall drive professional work and decision readiness.,JAN-CPCO-001,Sections 5.6–5.7,Scenario test; query contract test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-008,G1,SEM,P1,MUST,Every representation shall declare what it represents and its professional purpose.,JAN-CPCO-001,Section 5.8 — Representation,Representation validator test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-009,G4,SEM,P0,MUST,"Critical assumptions shall be explicit and linked to dependent reasoning, decisions, and work.",JAN-CPCO-001,Section 5.9; INV-005,Assumption impact test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-010,G4,SEM,P0,MUST,Mandatory constraints shall be evaluated before conflicting decisions or actions become effective unless an authorized exception exists.,JAN-CPCO-001,Section 5.10; INV-016,Authority/constraint integration test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-011,G4,SEM,P0,MUST,"Claims shall remain distinct from evidence, and evidentiary support shall be represented by explicit typed relationships.",JAN-CPCO-001,Sections 5.11–5.12; INV-004,Claim-evidence relationship tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-012,G4,SEM,P1,MUST,"Confidence shall remain distinct from approval, priority, completion, certainty, and severity, and shall identify its basis.",JAN-CPCO-001,Section 5.13; INV-015,Semantic validator and UI test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-013,G4,SEM,P1,MUST,Every completed reasoning activity shall identify outputs or explicitly record that no valid conclusion was produced.,JAN-CPCO-001,Section 5.14 — Reasoning Activity,Reasoning completion test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-014,G4,SEM,P2,SHOULD,Materially considered alternatives that are rejected should retain rejection rationale.,JAN-CPCO-001,Section 5.15 — Alternative,Decision history review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-015,G4,SEM,P0,MUST,A decision shall be represented as an authorized commitment under available knowledge and shall not be treated as truth.,JAN-CPCO-001,Section 5.16 — Decision,Semantic distinction test; UI acceptance test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-016,G7,SEM,P1,MUST,An action shall remain distinct from the decision authorizing it and from the outcome it is intended to affect.,JAN-CPCO-001,Section 5.17 — Action,Traceability test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-017,G4,SEM,P0,MUST,"Observation, interpretation, and derived claim shall remain distinguishable; an observation becomes evidence only through explicit use.",JAN-CPCO-001,Section 5.18; INV-010,Observation-evidence conversion test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-018,G1,SEM,P1,MUST,Artifacts shall remain semantically distinct from the representations they embody.,JAN-CPCO-001,Section 5.19; Semantic Boundary Rules,Artifact/representation model test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-019,G3,SEM,P1,MUST,"Dependencies shall be explicit, typed, directional, and status-bearing.",JAN-CPCO-001,Section 5.20 — Dependency,Dependency schema and blocker tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-020,G4,SEM,P0,MUST,"Validations shall be explicit entities with criteria, result, performer, and time.",JAN-CPCO-001,Section 5.23 — Validation; INV-009,Validation contract tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-021,G6,SEM,P0,MUST,Reconciliation shall preserve the prior state and the rationale for change.,JAN-CPCO-001,Section 5.24; INV-017,Before/after history test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-022,G6,SEM,P1,MUST,Narrative memory shall identify its source entities and shall not silently invent missing rationale.,JAN-CPCO-001,Section 5.25 — Narrative Memory,Narrative grounding test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-023,G4,SEM,P0,MUST,"Material semantic relationships and contradictions shall be first-class, versionable, provenance-bearing objects or typed relationships.",JAN-CPCO-001,Sections 6 and 13,Relationship and contradiction tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-024,G2,SEM,P1,MUST,"Transaction time, valid time, observation time, and decision effective time shall remain distinct where applicable.",JAN-CPCO-001,Section 14 — Temporal and Version Model,Temporal query tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-025,G2,SEM,P0,MUST,"Every material semantic transition shall emit a domain event with causation, correlation, provenance, and version context.",JAN-CPCO-001,Section 15 — Event Model,Event contract and trace tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-SEM-026,G1,SEM,P0,MUST,"The implementation shall preserve the canonical semantic boundary distinctions enumerated by CPCO, including Outcome ≠ Artifact, Claim ≠ Evidence, Decision ≠ Truth, and PWU ≠ Task.",JAN-CPCO-001,Section 23 — Semantic Boundary Rules,Semantic conformance suite,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-001,G3,PWU,P0,MUST,Each PWU shall possess exactly one active professionally meaningful objective.,JAN-PWU-001,PWU-INV-001,Aggregate invariant test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-002,G3,PWU,P0,MUST,Each non-exploratory PWU shall trace to at least one active intent.,JAN-PWU-001,PWU-INV-002,Traceability test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-003,G3,PWU,P0,MUST,"PWU scope, exclusions, and non-goals shall be explicit; material scope changes shall be versioned and impact-assessed.",JAN-PWU-001,Sections 7 and 17; PWU-INV-004,Scope-change command test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-004,G3,PWU,P0,MUST,PWUs shall maintain lifecycle state and cognitive state as separate explicit dimensions.,JAN-PWU-001,Sections 8–10; PWU-INV-003,"Schema, API, and UI tests",UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-005,G3,PWU,P0,MUST,"Material PWU lifecycle transitions shall be explicit, validated, authorized, evented, and rejected atomically when preconditions fail.",JAN-PWU-001,Section 11 — State Transition Rules,Transition conformance suite,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-006,G3,PWU,P0,MUST,A PWU shall satisfy the framing contract before it may become ready or active.,JAN-PWU-001,Section 12 — Framing Contract,Ready-state validator tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-007,G3,PWU,P1,MUST,"PWU participation shall be role-based, explicit, and capable of distinguishing ownership, coordination, review, validation, approval, and execution.",JAN-PWU-001,Section 13 — Participant and Role Model,Role/authority matrix tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-008,G3,PWU,P0,MUST,"External and imported inputs shall be treated as untrusted until parsed, normalized, validated, and accepted for use.",JAN-PWU-001,Section 14 — Input Model,Boundary validation tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-009,G3,PWU,P1,MUST,"Required outputs shall define semantic purpose, acceptance criteria, validation, authoritative status, and downstream consumers.",JAN-PWU-001,Section 15 — Output Model,Output contract tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-010,G4,PWU,P0,MUST,"Questions and uncertainties shall be modeled explicitly, including residual uncertainty accepted at completion.",JAN-PWU-001,Section 16 — Question and Uncertainty Model,Residual uncertainty scenario,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-011,G4,PWU,P0,MUST,"Critical assumptions and mandatory constraints shall be visible and evaluated at framing, decision, action authorization, completion, and reconciliation as applicable.",JAN-PWU-001,Section 17 — Assumptions and Constraints,Lifecycle assurance tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-012,G4,PWU,P1,MUST,"Reasoning activities shall record purpose, method, inputs, outputs, participant, assumptions introduced, limitations, and provenance.",JAN-PWU-001,Section 18 — Reasoning Activity Model,Reasoning record contract tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-013,G4,PWU,P1,MUST,"Claim, evidence, and confidence changes shall be explicit and confidence changes should preserve their basis and triggering evidence.",JAN-PWU-001,"Section 19 — Claim, Evidence, and Confidence Model",Confidence reassessment test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-014,G4,PWU,P0,MUST,"Material decisions shall identify authority, alternatives, evidence, assumptions, constraints, rationale, and residual uncertainty.",JAN-PWU-001,Section 20 — Decision Model,Decision approval acceptance journey,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-015,G7,PWU,P0,MUST,Action completion shall remain distinct from PWU completion and outcome achievement.,JAN-PWU-001,Section 21 — Action Model,Execution/outcome distinction test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-016,G6,PWU,P0,MUST,"Material observation variance shall trigger reconciliation when it conflicts with current claims, assumptions, representations, decisions, outcomes, or constraints.",JAN-PWU-001,Section 22 — Observation and Feedback Model,Observation-triggered reconciliation test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-017,G3,PWU,P1,MUST,"Dependencies shall be explicit, typed, bidirectionally visible across PWUs, and capable of blocking advancement.",JAN-PWU-001,Section 23 — Dependency Model,Cross-PWU dependency tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-018,G4,PWU,P0,MUST,"Required validations shall be planned, criteria-bearing, authority-aware, and shall not treat inconclusive as pass.",JAN-PWU-001,Section 25 — Validation Model,Validation plan and inconclusive test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-019,G6,PWU,P0,MUST,"Reconciliation shall identify triggers, affected entities and PWUs, prior state, proposed state, impact, and authority.",JAN-PWU-001,Section 26 — Reconciliation Model,Reconciliation case contract tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-020,G5,PWU,P0,MUST,"Each child PWU shall receive a delegation contract, and decomposition shall be based on professional meaning rather than UI or arbitrary task granularity.",JAN-PWU-001,Section 27 — Decomposition Model; PWU-INV-015,Child creation and delegation tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-021,G5,PWU,P0,MUST,A parent PWU with children shall perform recomposition before completion; child completion shall not imply parent coherence.,JAN-PWU-001,Section 28; PWU-INV-016,Recomposition-required acceptance journey,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-022,G3,PWU,P0,MUST,"PWU completion shall be condition-based and shall be rejected when mandatory validation, dependencies, constraints, contradictions, or recomposition remain unresolved.",JAN-PWU-001,Section 29; PWU-INV-007/008/018,Completion gate suite,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-023,G5,PWU,P1,MUST,"Failure, retry, tactic change, and escalation shall be classified distinctly and shall preserve attempted work, evidence, uncertainty, and recommended disposition.",JAN-PWU-001,"Section 30 — Failure, Tactic Change, and Escalation",Failure/tactic/escalation scenarios,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-024,G2,PWU,P0,MUST,Authoritative PWU state changes shall use semantic commands and immutable events rather than unrestricted generic mutation.,JAN-PWU-001,Sections 31–33; PWU-INV-020,Command/event integration tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PWU-025,G2,PWU,P0,MUST,Material PWU commands shall use optimistic concurrency and shall reject stale expected versions rather than silently overwrite current state.,JAN-PWU-001,Section 31.3; acceptance scenario,Stale-command test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-001,G5,RPH,P0,MUST,"An RPH shall frame, allocate, coordinate, monitor, validate, reconcile, synthesize, and escalate professional work while preserving intent and coherence.",JAN-RPH-001,Core responsibilities,RPH scenario and state tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-002,G5,RPH,P0,MUST,An RPH shall govern coordination and shall not directly own or silently rewrite the professional knowledge contained in PWUs.,JAN-RPH-001,What an RPH governs,Architecture boundary test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-003,G5,RPH,P1,MUST,"Subordinate RPHs shall possess bounded purpose, scope, authority, completion conditions, and parent traceability.",JAN-RPH-001,Recursive composition and delegation,Child RPH contract tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-004,G5,RPH,P0,MUST,"RPH planning shall be continuous, explicit, and versioned; plans shall produce or propose commands rather than mutate PWUs directly.",JAN-JEM-001,Sections 22–23 — RPH lifecycle and planning,Plan revision and command boundary tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-005,G5,RPH,P1,MUST,"Allocation shall consider capability, authority, availability, risk, cost, independence, and tool access.",JAN-JEM-001,Section 24 — Work Allocation,Allocation policy tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-006,G5,RPH,P1,MUST,"RPH progress assessment shall measure professional progress such as uncertainty reduction, evidence sufficiency, validation, and synthesis rather than computational activity alone.",JAN-RPH-001,Monitoring progress; observability,Progress metric review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-007,G5,RPH,P0,MUST,"Technical retry and professional tactic change shall remain distinct, and no-progress detection shall trigger tactic evaluation rather than blind repetition.",JAN-JEM-001,Sections 27–29; JEM-INV-013,Retry/tactic-change tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-008,G5,RPH,P0,MUST,"Escalation shall be explicit, authority-directed, and shall carry a complete professional escalation package.",JAN-RPH-001,Escalation,Escalation package acceptance test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-009,G5,RPH,P0,MUST,RPH synthesis shall evaluate cross-child coherence and produce explicit synthesized professional entities before parent completion.,JAN-RPH-001,Synthesis,Synthesis and parent completion tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-010,G5,RPH,P1,MUST,"RPH coordination state, bottlenecks, tactic health, validation backlog, synthesis backlog, and escalation shall be observable.",JAN-RPH-001,Observability,Coordination projection and telemetry tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-011,G5,RPH,P0,MUST,"Human judgment points, authority gaps, legal, ethical, safety, and strategic trade-offs shall remain visible and reviewable.",JAN-RPH-001,Human interaction,Human-attention scenario,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-RPH-012,G8,RPH,P1,MUST,"Recursive expansion shall be governed by depth, concurrency, cost, time, and context limits and shall never silently truncate work.",JAN-JEM-001,Section 65 — Recursive Expansion Limits,Limit and escalation tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PROJ-001,G3,PROJ,P0,MUST,"Every material projection shall be derived from authoritative semantic, PWU, RPH, lifecycle, role, authority, and purpose context.",JAN-CPM-001,Sections 2–3,Projection source contract tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PROJ-002,G3,PROJ,P0,MUST,A projection shall not independently mutate or become an authoritative semantic source of truth.,JAN-CPM-001,PROJ-INV-001/002; PROJ-INV-018,Mutation boundary tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PROJ-003,G4,PROJ,P0,MUST,"Material projections shall preserve access to provenance, confidence, uncertainty, contradiction, completeness, and filtering disclosures.",JAN-CPM-001,Projection invariants,Projection disclosure tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-PROJ-004,G3,PROJ,P0,MUST,"Current, historical, predicted, stale, partial, and offline states shall be explicitly distinguishable.",JAN-CPM-001,"PROJ-INV-007/013/014; Sections 17, 21",State-mode UI tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
